日期,黄金ETF_open,黄金ETF_close,纳指ETF_open,纳指ETF_close,创业板ETF_open,创业板ETF_close,黄金ETF_high,黄金ETF_low,黄金ETF_volume,黄金ETF_amount,黄金ETF_source,纳指ETF_high,纳指ETF_low,纳指ETF_volume,纳指ETF_amount,纳指ETF_source,创业板ETF_high,创业板ETF_low,创业板ETF_volume,创业板ETF_amount,创业板ETF_source
2013-07-29,2.633,2.577,0.202,0.2044,1.143,1.169,2.633,2.577,0,0,Excel导入缓存,0.2044,0.202,0,0,Excel导入缓存,1.169,1.143,0,0,Excel导入缓存
2013-08-05,2.621,2.618,0.2056,0.2052,1.167,1.161,2.621,2.618,0,0,Excel导入缓存,0.2056,0.2052,0,0,Excel导入缓存,1.167,1.161,0,0,Excel导入缓存
2013-08-12,2.656,2.714,0.2048,0.2002,1.159,1.117,2.714,2.656,0,0,Excel导入缓存,0.2048,0.2002,0,0,Excel导入缓存,1.159,1.117,0,0,Excel导入缓存
2013-08-19,2.74,2.733,0.2002,0.203,1.112,1.198,2.74,2.733,0,0,Excel导入缓存,0.203,0.2002,0,0,Excel导入缓存,1.198,1.112,0,0,Excel导入缓存
2013-08-26,2.77,2.785,0.2038,0.2018,1.202,1.171,2.785,2.77,0,0,Excel导入缓存,0.2038,0.2018,0,0,Excel导入缓存,1.202,1.171,0,0,Excel导入缓存
2013-09-02,2.77,2.725,0.201,0.2032,1.17,1.262,2.77,2.725,0,0,Excel导入缓存,0.2032,0.201,0,0,Excel导入缓存,1.262,1.17,0,0,Excel导入缓存
2013-09-09,2.751,2.622,0.204,0.2058,1.262,1.235,2.751,2.622,0,0,Excel导入缓存,0.2058,0.204,0,0,Excel导入缓存,1.262,1.235,0,0,Excel导入缓存
2013-09-16,2.636,2.589,0.2072,0.2082,1.231,1.265,2.636,2.589,0,0,Excel导入缓存,0.2082,0.2072,0,0,Excel导入缓存,1.265,1.231,0,0,Excel导入缓存
2013-09-23,2.618,2.622,0.2084,0.2142,1.266,1.308,2.622,2.618,0,0,Excel导入缓存,0.2142,0.2084,0,0,Excel导入缓存,1.308,1.266,0,0,Excel导入缓存
2013-09-30,2.633,2.649,0.214,0.21,1.314,1.346,2.649,2.633,0,0,Excel导入缓存,0.214,0.21,0,0,Excel导入缓存,1.346,1.314,0,0,Excel导入缓存
2013-10-07,2.638,2.569,0.214,0.213,1.35,1.36,2.638,2.569,0,0,Excel导入缓存,0.214,0.213,0,0,Excel导入缓存,1.36,1.35,0,0,Excel导入缓存
2013-10-14,2.54,2.606,0.214,0.2202,1.36,1.332,2.606,2.54,0,0,Excel导入缓存,0.2202,0.214,0,0,Excel导入缓存,1.36,1.332,0,0,Excel导入缓存
2013-10-21,2.6,2.619,0.2202,0.2278,1.333,1.252,2.619,2.6,0,0,Excel导入缓存,0.2278,0.2202,0,0,Excel导入缓存,1.333,1.252,0,0,Excel导入缓存
2013-10-28,2.634,2.603,0.2302,0.2236,1.252,1.199,2.634,2.603,0,0,Excel导入缓存,0.2302,0.2236,0,0,Excel导入缓存,1.252,1.199,0,0,Excel导入缓存
2013-11-04,2.603,2.574,0.2224,0.225,1.195,1.189,2.603,2.574,0,0,Excel导入缓存,0.225,0.2224,0,0,Excel导入缓存,1.195,1.189,0,0,Excel导入缓存
2013-11-11,2.535,2.526,0.229,0.2264,1.185,1.247,2.535,2.526,0,0,Excel导入缓存,0.229,0.2264,0,0,Excel导入缓存,1.247,1.185,0,0,Excel导入缓存
2013-11-18,2.529,2.457,0.227,0.2208,1.251,1.268,2.529,2.457,0,0,Excel导入缓存,0.227,0.2208,0,0,Excel导入缓存,1.268,1.251,0,0,Excel导入缓存
2013-11-25,2.457,2.443,0.2216,0.2274,1.26,1.341,2.457,2.443,0,0,Excel导入缓存,0.2274,0.2216,0,0,Excel导入缓存,1.341,1.26,0,0,Excel导入缓存
2013-12-02,2.444,2.419,0.2278,0.2264,1.27,1.186,2.444,2.419,0,0,Excel导入缓存,0.2278,0.2264,0,0,Excel导入缓存,1.27,1.186,0,0,Excel导入缓存
2013-12-09,2.424,2.41,0.2276,0.2244,1.187,1.251,2.424,2.41,0,0,Excel导入缓存,0.2276,0.2244,0,0,Excel导入缓存,1.251,1.187,0,0,Excel导入缓存
2013-12-16,2.412,2.343,0.2242,0.2274,1.252,1.23,2.412,2.343,0,0,Excel导入缓存,0.2274,0.2242,0,0,Excel导入缓存,1.252,1.23,0,0,Excel导入缓存
2013-12-23,2.355,2.401,0.2296,0.2358,1.225,1.273,2.401,2.355,0,0,Excel导入缓存,0.2358,0.2296,0,0,Excel导入缓存,1.273,1.225,0,0,Excel导入缓存
2013-12-30,2.402,2.424,0.2352,0.2322,1.273,1.325,2.424,2.402,0,0,Excel导入缓存,0.2352,0.2322,0,0,Excel导入缓存,1.325,1.273,0,0,Excel导入缓存
2014-01-06,2.437,2.428,0.2328,0.2342,1.324,1.324,2.437,2.428,0,0,Excel导入缓存,0.2342,0.2328,0,0,Excel导入缓存,1.324,1.324,0,0,Excel导入缓存
